department_of_education,n
shrewishness,n
treason,n
acrocarpous,adj
indignation,n
eyetooth,n
tropaeolum_majus,n
break_seal,n
sledding,n
foglamp,n
shock-headed,adj
exhumation,n
aldehyde_group,n
costumier,n
united_states,n
homona_coffearia,n
sonority,n
lobipes_lobatus,n
automatize,v
sunflower_oil,n
timed,adj
republic_of_cote_d'ivoire,n
gingival,adj
trichomanes_reniforme,n
tesla_coil,n
ferdinand_julius_cohn,n
signalization,n
unopen,adj
3,n
serenade,n
serenade,v
2,n
marbleize,v
1,n
gang-rape,v
genus_rhizopogon,n
7,n
6,n
5,n
head_shop,n
4,n
salient,n
salient,adj
wind_rose,n
tongue-tie,v
9,n
news_reader,n
8,n
deactivation,n
chester_a._arthur,n
ignorance,n
beach_aster,n
thoracic_actinomycosis,n
lasthenia_chrysostoma,n
inefficient,adj
aphthous_ulcer,n
martynia_arenaria,n
times,n
timer,n
helix,n
search_and_rescue_mission,n
genus_ophiodon,n
hallucinogen,n
grotesque,n
grotesque,adj
unforesightful,adj
f,n
g,n
d,n
d,adj
e,n
common_stock_equivalent,n
sobering,adj
b,n
c,n
c,adj
sponge_bag,n
a,n
high-ceilinged,adj
mimosa,n
n,n
trumbull,n
o,n
second_sacker,n
astounded,adj
l,n
l,adj
embrangle,v
m,n
m,adj
j,n
k,n
k,adj
h,n
i,n
i,adj
w,n
analyze,v
v,n
v,adj
shop_assistant,n
u,n
u,adj
t,n
s,n
slater,n
r,n
q,n
insufferable,adj
p,n
mono-iodotyrosine,n
foliation,n
rubus_strigosus,n
z,n
y,n
muir,n
x,n
x,adj
moment_magnitude_scale,n
onomastic,adj
basidiomycetous_fungi,n
rastafarianism,n
beef_fondue,n
axletree,n
consumption,n
swamp_mallow,n
gentiana_clausa,n
sir_charles_leonard_woolley,n
frankliniella_fusca,n
diervilla,n
jurisdictional,adj
comminuted_fracture,n
coolheaded,adj
giovanni_mastai-ferretti,n
genus_priodontes,n
collective_farm,n
academy_of_motion_picture_arts_and_sciences,n
cynara_scolymus,n
coagulation,n
eusporangiate,adj
copulation,n
dozens,n
gunnar_myrdal,n
anas_acuta,n
bye-election,n
eyelessness,n
regimentation,n
timid,n
timid,adj
much,n
much,adv
much,adj
placatory,adj
heritiera,n
puppet_state,n
muck,n
muck,v
hematinic,n
flagstaff,n
verbascum,n
yellow_horned_poppy,n
goosefoot_maple,n
update,n
update,v
gerres_cinereus,n
taimyr_peninsula,n
strix_aluco,n
criminalisation,n
moorish_arch,n
muff,n
muff,v
genus_picris,n
genus_echinococcus,n
cuprimine,n
undamaged,adj
quietness,n
marbleise,v
railway_man,n
agrimony,n
partialness,n
object_of_a_preposition,n
vitus_bering,n
ship's_papers,n
soccer_ball,n
injection,n
insurgency,n
macaroni_wheat,n
starkey,n
hello,n
convoy,n
convoy,v
praetorship,n
insurgence,n
hormonal,adj
genus_cestrum,n
muscat_grape,n
be_on_the_ball,v
intermediately,adv
vane,n
lupinus_texensis,n
malformed,adj
egyptian_deity,n
pinus_densiflora,n
cow_parsley,n
helot,n
optic_axis,n
empirical_formula,n
hearing_aid,n
measure_out,v
poinciana_regia,n
vascular_ray,n
sugar_cookie,n
glade,n
reasonless,adj
olefin,n
solomon_guggenheim,n
discrepancy,n
locoism,n
major_power,n
potato_tuber_moth,n
pulverized,adj
footling,adj
generousness,n
order_dinoflagellata,n
rascal,n
ranunculus_lyalii,n
descriptively,adv
car_window,n
genus_fundulus,n
rissa,n
tip-up,adj
atresia,n
vamp,n
vamp,v
differential_analyzer,n
kitchen_island,n
multifariousness,n
pteriidae,n
yachting,n
taffy,n
nonaccomplishment,n
korchnoi,n
wiper_blade,n
preschooler,n
auditory_agnosia,n
celestial_hierarchy,n
cookie_jar_reserve,n
hooray_henry,n
muon,n
var.,n
delta_wave,n
lowness,n
mush,n
mush,v
technician,n
intestinal_flu,n
muse,n
muse,v
musd,n
genus_phascogale,n
musa,n
lyons,n
llano_estacado,n
naumachia,n
body_armour,n
vanessa_stephen,n
sun_river,n
romper_suit,n
executrix,n
genus_stizostedion,n
genus_cercopithecus,n
geraint,n
may_fish,n
analyse,v
abvolt,n
murk,n
murk,v
postural_hypotension,n
genus_holbrookia,n
mismanagement,n
hadrosaurus,n
turn_on_a_dime,v
brompheniramine_maleate,n
fiscal_year,n
anglican_catholic,n
aerial_tramway,n
first_sacker,n
double_entendre,n
consuetudinary,n
absolute_pitch,n
copulative,n
copulative,adj
tissue_paper,n
cytogenetics,n
fibroid_tumor,n
genus_polyergus,n
depressive_disorder,n
on_that,adv
dropping_zone,n
platform_bed,n
cause_of_death,n
mule,n
flux_density_unit,n
starkly,adv
auricular_vein,n
genus_porzana,n
pottery,n
mull,n
mull,v
torreya,n
aerobiosis,n
analyst,n
red-header,n
unrecognized,adj
i-beam,n
alan_hodgkin,n
harpoon,n
harpoon,v
inaudible,adj
joyride,n
joyride,v
cat_bear,n
sachsen,n
vain,adj
artisan's_lien,n
pearl_oyster,n
computer_simulation,n
diriment_impediment,n
acinos_arvensis,n
drawing_off,n
dodderer,n
achromasia,n
joint_fir,n
computer_circuit,n
vali,n
microbial,adj
vale,n
helve,n
denturist,n
bechamel_sauce,n
munj,n
semilunar,adj
thinning_shears,n
mung,n
assailant,n
inaudibly,adv
goatsfoot,n
t_cell,n
girl_wonder,n
throwback,n
throwback,adj
derivational,adj
canton_ginger,n
oval-bodied,adj
eau_de_toilette,n
hard_liquor,n
ouranopithecus,n
paternoster,n
pervasive,adj
giovanni_de'medici,n
genus_enterolobium,n
sarraceniales,n
strafer,n
gangrene,n
gangrene,v
family_laniidae,n
euphorbia_cyathophora,n
sexiness,n
first-place_finish,n
shoebill,n
bodice_ripper,n
pottle,n
arsenical,n
arsenical,adj
sensorial,adj
glace,adj
ararat,n
handhold,n
sextant,n
enslave,v
scallywag,n
